Trat;Repet;Planta;ALT;DC
1;1;1;20.0;5.4
1;1;2;24.5;6.5
1;1;3;19.0;5.0
1;1;4;18.5;5.0
1;1;5;19.5;5.2
1;1;6;19.0;4.3
1;1;7;16.5;4.7
1;1;8;22.0;5.2
1;1;9;21.0;6.3
1;1;10;15.0;4.6
1;1;11;21.5;5.6
1;1;12;18.5;4.8
1;2;1;22.5;5.1
1;2;2;21.0;4.9
1;2;3;15.0;3.9
1;2;4;19.0;5.9
1;2;5;19.0;6.2
1;2;6;23.0;5.9
1;2;7;16.0;5.2
1;2;8;19.0;4.8
1;2;9;22.5;5.7
1;2;10;19.0;5.8
1;2;11;16.5;5.5
1;2;12;18.0;5.1
1;3;1;19.0;5.2
1;3;2;15.5;5.2
1;3;3;17.5;5.0
1;3;4;19.5;6.2
1;3;5;20.0;6.0
1;3;6;22.0;4.9
1;3;7;20.0;5.3
1;3;8;20.5;4.6
1;3;9;17.0;4.8
1;3;10;20.0;5.6
1;3;11;24.0;5.6
1;3;12;17.5;4.9
1;4;1;27.0;7.2
1;4;2;29.0;7.5
1;4;3;22.0;6.2
1;4;4;23.5;4.9
1;4;5;25.0;5.7
1;4;6;22.0;6.7
1;4;7;26.5;6.0
1;4;8;25.0;5.6
1;4;9;24.0;6.6
1;4;10;30.0;7.6
1;4;11;30.0;8.7
1;4;12;20.0;5.5
2;1;1;25.0;6.2
2;1;2;24.0;6.2
2;1;3;23.5;6.0
2;1;4;33.5;6.6
2;1;5;34.0;6.4
2;1;6;26.0;6.2
2;1;7;32.0;7.1
2;1;8;27.0;6.6
2;1;9;30.0;6.2
2;1;10;33.0;6.8
2;1;11;23.5;6.1
2;1;12;27.0;5.4
2;2;1;23.0;6.8
2;2;2;30.0;6.9
2;2;3;26.5;6.9
2;2;4;27.0;5.0
2;2;5;25.5;7.3
2;2;6;20.0;4.7
2;2;7;22.0;5.5
2;2;8;27.5;6.1
2;2;9;19.0;6.6
2;2;10;22.0;6.1
2;2;11;20.0;6.2
2;2;12;11.5;4.8
2;3;1;37.0;5.1
2;3;2;39.5;6.1
2;3;3;29.0;6.8
2;3;4;21.5;6.0
2;3;5;38.0;6.4
2;3;6;27.0;6.6
2;3;7;36.0;7.2
2;3;8;27.5;6.0
2;3;9;26.5;6.7
2;3;10;26.0;5.3
2;3;11;31.0;7.0
2;3;12;27.0;6.1
2;4;1;26.5;5.7
2;4;2;26.0;5.9
2;4;3;25.5;6.3
2;4;4;28.0;6.2
2;4;5;31.0;5.8
2;4;6;23.0;5.9
2;4;7;29.0;6.0
2;4;8;30.5;5.8
2;4;9;27.0;5.6
2;4;10;25.0;6.5
2;4;11;31.0;5.7
2;4;12;22.0;5.9
3;1;1;36.0;6.5
3;1;2;40.0;7.4
3;1;3;37.5;8.3
3;1;4;40.5;7.6
3;1;5;30.0;7.8
3;1;6;30.0;6.9
3;1;7;33.0;6.2
3;1;8;37.0;8.2
3;1;9;29.0;8.3
3;1;10;27.0;7.4
3;1;11;34.0;7.8
3;1;12;31.0;8.8
3;2;1;24.0;6.9
3;2;2;23.5;6.6
3;2;3;20.5;5.0
3;2;4;22.5;5.7
3;2;5;21.0;5.4
3;2;6;27.0;7.1
3;2;7;36.0;5.8
3;2;8;27.5;6.2
3;2;9;24.5;5.4
3;2;10;24.5;4.3
3;2;11;32.0;6.8
3;2;12;30.0;6.8
3;3;1;31.0;7.4
3;3;2;22.5;6.8
3;3;3;25.0;6.9
3;3;4;43.0;8.4
3;3;5;31.5;6.3
3;3;6;27.5;6.4
3;3;7;37.5;6.5
3;3;8;47.5;8.3
3;3;9;25.0;6.9
3;3;10;33.0;7.3
3;3;11;35.5;8.8
3;3;12;32.0;6.9
3;4;1;32.0;8.6
3;4;2;30.0;7.5
3;4;3;36.0;7.6
3;4;4;31.5;6.8
3;4;5;41.0;8.3
3;4;6;37.0;8.5
3;4;7;33.0;8.8
3;4;8;46.5;8.7
3;4;9;39.0;6.4
3;4;10;23.0;8.2
3;4;11;27.5;7.8
3;4;12;24.5;7.2
4;1;1;27.5;8.0
4;1;2;31.5;6.8
4;1;3;27.0;7.1
4;1;4;36.5;8.0
4;1;5;32.0;5.4
4;1;6;34.5;7.3
4;1;7;35.0;6.9
4;1;8;36.5;5.4
4;1;9;39.0;7.6
4;1;10;38.0;7.6
4;1;11;40.0;8.8
4;1;12;38.0;6.8
4;2;1;25.0;5.8
4;2;2;34.0;7.4
4;2;3;29.0;5.5
4;2;4;35.0;7.9
4;2;5;33.0;7.4
4;2;6;31.0;7.5
4;2;7;37.0;7.0
4;2;8;37.5;6.3
4;2;9;28.5;6.7
4;2;10;26.0;5.9
4;2;11;33.0;8.8
4;2;12;31.0;7.6
4;3;1;27.5;7.0
4;3;2;33.0;6.1
4;3;3;36.0;7.4
4;3;4;34.5;7.2
4;3;5;34.0;7.3
4;3;6;32.0;6.0
4;3;7;37.0;7.7
4;3;8;38.0;6.9
4;3;9;27.0;7.6
4;3;10;38.0;7.6
4;3;11;29.5;6.6
4;3;12;34.0;8.2
4;4;1;35.5;6.6
4;4;2;38.0;7.6
4;4;3;41.0;8.3
4;4;4;42.0;8.0
4;4;5;39.0;7.2
4;4;6;40.0;6.6
4;4;7;39.0;7.6
4;4;8;41.5;8.5
4;4;9;32.0;7.3
4;4;10;34.5;8.3
4;4;11;38.0;8.2
4;4;12;33.5;7.2
